"Work Item Type","ID","Title","Assigned To","State","Area Path","Tags","Comment Count","Changed Date","Changed By","Iteration Path","History"
"User Story","752","Port public candidate landing page into shared Azure branch","Fu Chen <fu@rangam.com>","Resolved","Interview-Coach-Candidate\Shared Platform","candidate; shared-host-routing","1","5/10/2026 6:31","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate MVP Shell",""
"Feature","751","Shared host route ownership","Fu Chen <fu@rangam.com>","Active","Interview-Coach-Candidate\Shared Platform","candidate; shared-host-routing","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate MVP Shell",""
"User Story","750","Create candidate integration branch in company Azure repo","Fu Chen <fu@rangam.com>","Active","Interview-Coach-Candidate\Integration","azure-devops; candidate","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Discovery",""
"Epic","749","Azure DevOps Collaboration And Delivery","Fu Chen <fu@rangam.com>","Active","Interview-Coach-Candidate\Integration","azure-devops; candidate","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Discovery",""
"User Story","748","Review resume data privacy","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","candidate; quality; security","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Dashboard MVP",""
"User Story","747","Review login redirect security","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","candidate; quality; security","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Dashboard MVP",""
"Feature","746","Security and privacy review","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","candidate; quality; security","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Dashboard MVP",""
"User Story","745","Add incident runbook","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","candidate; quality; security","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Dashboard MVP",""
"User Story","744","Add observability plan to deployment","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","candidate; quality; security","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Dashboard MVP",""
"Feature","743","Observability and incident readiness","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","candidate; quality; security","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Dashboard MVP",""
"User Story","742","Add recruiter regression checklist for candidate PRs","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Shared Platform","candidate; quality; security","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Dashboard MVP",""
"User Story","741","Add accessibility checks for primary pages","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","accessibility; candidate; quality; security","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Dashboard MVP",""
"User Story","740","Add primary route smoke tests","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","candidate; quality; security","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Dashboard MVP",""
"Feature","739","Smoke and regression testing","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","candidate; quality; security","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Dashboard MVP",""
"Epic","738","Quality, Security, Observability, And Release Readiness","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","candidate; quality; security","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Dashboard MVP",""
"User Story","737","Surface next best practice recommendation","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","candidate; dashboard","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Dashboard MVP",""
"Feature","736","Progress and coaching themes","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","candidate; dashboard","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Dashboard MVP",""
"User Story","735","Add dashboard tests","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","candidate; dashboard","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Dashboard MVP",""
"User Story","734","Add resume/review/repeat actions","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","candidate; dashboard","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Dashboard MVP",""
"User Story","733","Replace mock dashboard data","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","candidate; dashboard","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Dashboard MVP",""
"User Story","732","Define dashboard query contract","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","candidate; dashboard","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Dashboard MVP",""
"Feature","731","Dashboard MVP read model","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","candidate; dashboard","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Dashboard MVP",""
"Epic","730","Candidate Dashboard And History","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","candidate; dashboard","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Dashboard MVP",""
"User Story","729","Add structured intake fields","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","candidate; resume-data","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Practice MVP",""
"Feature","728","Candidate intake profile","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","candidate; resume-data","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Practice MVP",""
"User Story","727","Add photo/OCR capture path","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","candidate; resume-data","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Practice MVP",""
"Feature","726","Resume photo/OCR capture","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","candidate; resume-data","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Practice MVP",""
"Task","725","Delete original file after successful extraction by default","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","candidate; resume-data","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Practice MVP",""
"User Story","724","Add PDF/DOCX extraction path","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","candidate; resume-data","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Practice MVP",""
"User Story","723","Add private file upload boundary","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","candidate; resume-data","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Practice MVP",""
"Feature","722","Resume upload extraction boundary","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","candidate; resume-data","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Practice MVP",""
"User Story","721","Store processed resume artifact only","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","candidate; resume-data","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Practice MVP",""
"User Story","720","Add resume normalization helper","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","candidate; resume-data","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Practice MVP",""
"Feature","719","Resume text normalization","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","candidate; resume-data","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Practice MVP",""
"Epic","718","Resume Ingestion And Candidate Context","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","candidate; resume-data","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Practice MVP",""
"User Story","717","Implement candidate summary route","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","candidate; session-engine","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Practice MVP",""
"Feature","716","Candidate feedback and summary","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","candidate; session-engine","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Practice MVP",""
"User Story","715","Add session mutation tests","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","candidate; session-engine","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Practice MVP",""
"User Story","714","Persist session progress and resume target","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","candidate; session-engine","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Practice MVP",""
"User Story","713","Render real session state in /session/[sessionId]","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","candidate; session-engine","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Practice MVP",""
"User Story","712","Add candidate session creation service","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","candidate; session-engine","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Practice MVP",""
"Feature","711","Candidate session lifecycle","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","candidate; session-engine","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Practice MVP",""
"Task","710","Mark recruiter-only session assumptions","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","candidate; session-engine","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Practice MVP",""
"User Story","709","Identify candidate-safe session engine files","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","candidate; session-engine","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Practice MVP",""
"Feature","708","Session engine port plan","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","candidate; session-engine","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Practice MVP",""
"Epic","707","Candidate Session Engine Integration","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","candidate; session-engine","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Practice MVP",""
"User Story","706","Model draft naming and selection","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","candidate; practice-setup","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Practice MVP",""
"Feature","705","Multiple draft management","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","candidate; practice-setup","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Practice MVP",""
"User Story","704","Submit draft into generation state","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","candidate; practice-setup","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Practice MVP",""
"User Story","703","Restore draft after refresh","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","candidate; practice-setup","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Practice MVP",""
"User Story","702","Persist pasted resume text as normalized context","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","candidate; practice-setup","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Practice MVP",""
"User Story","701","Add draft service/repository","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","candidate; practice-setup","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Practice MVP",""
"Feature","700","Server-backed draft lifecycle","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","candidate; practice-setup","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Practice MVP",""
"Task","699","Add accessible validation messaging","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","candidate; practice-setup","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Practice MVP",""
"User Story","698","Add setup validation schema","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","candidate; practice-setup","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Practice MVP",""
"User Story","697","Move practice form into src/features/practice-setup","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","candidate; practice-setup","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Practice MVP",""
"Feature","696","Practice setup feature slice","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","candidate; practice-setup","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Practice MVP",""
"Epic","695","Candidate Practice Setup And Drafts","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","candidate; practice-setup","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Practice MVP",""
"User Story","694","Add dev seed candidates","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","candidate; postgres","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Auth Handoff",""
"User Story","693","Add candidate DB migration","Fu Chen <fu@rangam.com>","Resolved","Interview-Coach-Candidate\Candidate","candidate; postgres","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Auth Handoff","Resolved after adding db/migrations/002_candidate_identity_schema.sql for candidate_profiles and candidate_identities, db/validation/002_candidate_identity_schema_smoke.sql, and package scripts to apply and smoke the candidate schema. Verified with focused Vitest, typecheck, and local Postgres smoke."
"Feature","692","Migration and seed path","Fu Chen <fu@rangam.com>","Active","Interview-Coach-Candidate\Candidate","candidate; postgres","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Auth Handoff","Activated by adding candidate schema migration and smoke validation path."
"User Story","691","Add metrics/rate-limit/idempotency boundaries","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","candidate; postgres","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Auth Handoff",""
"User Story","690","Add draft/session repository boundaries","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","candidate; postgres","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Auth Handoff",""
"User Story","689","Add candidate profile repository","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","candidate; postgres","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Auth Handoff",""
"Feature","688","Candidate repository layer","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","candidate; postgres","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Auth Handoff",""
"Task","687","Add env validation for candidate backend selectors","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","candidate; postgres","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Auth Handoff",""
"User Story","686","Port Postgres config/client patterns from migrated recruiter app","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","candidate; postgres","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Auth Handoff",""
"Feature","685","Postgres client and config foundation","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","candidate; postgres","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Auth Handoff",""
"Epic","684","Shared Postgres And Backend Integration","Fu Chen <fu@rangam.com>","Active","Interview-Coach-Candidate\Candidate","candidate; postgres","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Auth Handoff","Activated as candidate Postgres migration work began."
"Task","683","Add auth-denial logging without secrets","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","auth-handoff; candidate","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Auth Handoff",""
"User Story","682","Add negative ownership behavior","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","auth-handoff; candidate","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Auth Handoff",""
"User Story","681","Protect candidate route group","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","auth-handoff; candidate","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Auth Handoff",""
"User Story","680","Add password-backed dev auth and explicit mock mode","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","auth-handoff; candidate","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Auth Handoff",""
"User Story","679","Define SSO/auth adapter interface","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","auth-handoff; candidate","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Auth Handoff",""
"Feature","678","Candidate access resolver","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","auth-handoff; candidate","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Auth Handoff",""
"Task","677","Add ownership indexes and constraints","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","auth-handoff; candidate","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Auth Handoff",""
"User Story","676","Create candidate profile and identity schema","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","auth-handoff; candidate","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Auth Handoff",""
"Feature","675","Candidate profile and identity persistence","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","auth-handoff; candidate","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Auth Handoff",""
"Epic","674","Candidate Identity And Auth Handoff","Fu Chen <fu@rangam.com>","Active","Interview-Coach-Candidate\Candidate","auth-handoff; candidate","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Auth Handoff",""
"User Story","673","Preserve recruiter/admin/QA route behavior","Fu Chen <fu@rangam.com>","Active","Interview-Coach-Candidate\Shared Platform","candidate; shared-host-routing","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate MVP Shell",""
"Feature","672","Recruiter/admin/QA route preservation","Fu Chen <fu@rangam.com>","Active","Interview-Coach-Candidate\Shared Platform","candidate; shared-host-routing","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate MVP Shell",""
"Task","671","Validate LoginWithType/2 parameter behavior in browser","Fu Chen <fu@rangam.com>","Active","Interview-Coach-Candidate\Shared Platform","candidate; shared-host-routing","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate MVP Shell",""
"User Story","670","Confirm candidate CTA return behavior","Himanshu Sagar <himanshusagar@rangam.com>","Active","Interview-Coach-Candidate\Integration","blocked; candidate; integration-team-needed; shared-host-routing","0","5/9/2026 20:11","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Auth Handoff",""
"User Story","669","Update public CTA targets","Fu Chen <fu@rangam.com>","Resolved","Interview-Coach-Candidate\Shared Platform","candidate; shared-host-routing","1","5/10/2026 6:31","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate MVP Shell",""
"Feature","668","Candidate public CTA funnel","Fu Chen <fu@rangam.com>","Active","Interview-Coach-Candidate\Shared Platform","candidate; shared-host-routing","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate MVP Shell",""
"Epic","667","Candidate Public Funnel And Shared Host Routing","Fu Chen <fu@rangam.com>","Active","Interview-Coach-Candidate\Shared Platform","candidate; shared-host-routing","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate MVP Shell",""
"Task","666","Revisit threat model after auth and resume ingestion are implemented","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","candidate; docs; foundation","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Discovery",""
"User Story","665","Add accessibility baseline","Fu Chen <fu@rangam.com>","Active","Interview-Coach-Candidate\Candidate","accessibility; candidate; docs; foundation","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Dashboard MVP",""
"User Story","664","Add data retention policy","Fu Chen <fu@rangam.com>","Active","Interview-Coach-Candidate\Candidate","candidate; docs; foundation","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Discovery",""
"Feature","663","Policy baselines","Fu Chen <fu@rangam.com>","Active","Interview-Coach-Candidate\Candidate","candidate; docs; foundation","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Discovery",""
"Task","662","Implement DB setup/migrate/seed commands after DB layer lands","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","candidate; docs; foundation","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Discovery",""
"User Story","661","Document local bootstrap contract","Fu Chen <fu@rangam.com>","Active","Interview-Coach-Candidate\Candidate","candidate; docs; foundation","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Discovery",""
"Feature","660","Local developer bootstrap","Fu Chen <fu@rangam.com>","Active","Interview-Coach-Candidate\Candidate","candidate; docs; foundation","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Discovery",""
"User Story","659","Add ADRs and environment contract","Fu Chen <fu@rangam.com>","Active","Interview-Coach-Candidate\Candidate","candidate; docs; foundation","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Discovery",""
"User Story","658","Align public assets with migrated recruiter app","Fu Chen <fu@rangam.com>","Active","Interview-Coach-Candidate\Candidate","candidate; docs; foundation","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Discovery",""
"Task","657","Verify local quality command names","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","candidate; docs; foundation","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Discovery",""
"User Story","656","Align package name and quality scripts","Fu Chen <fu@rangam.com>","Active","Interview-Coach-Candidate\Candidate","candidate; docs; foundation","0","5/9/2026 19:58","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Discovery",""
"User Story","655","Confirm TalentArbor login return parameter support","Himanshu Sagar <himanshusagar@rangam.com>","Active","Interview-Coach-Candidate\Integration","auth-handoff; blocked; candidate; integration-team-needed","0","5/9/2026 20:11","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Auth Handoff",""
"User Story","654","Track candidate docs review for PR !593","Himanshu Sagar <himanshusagar@rangam.com>","Active","Interview-Coach-Candidate\Integration","azure-devops; candidate; docs; integration-team-needed","0","5/9/2026 20:11","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Discovery",""
"User Story","653","Create candidate integration starter checklist","Fu Chen <fu@rangam.com>","Resolved","Interview-Coach-Candidate\Integration","azure-devops; candidate","1","5/9/2026 18:52","Fu Chen <fu@rangam.com>","Interview-Coach-Candidate\Candidate Discovery",""
