"Work Item Type","ID","Title","Assigned To","State","Area Path","Iteration Path","Tags","History"
"Task","699","Add accessible validation messaging","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Practice MVP","candidate; practice-setup",""
"User Story","698","Add setup validation schema","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Practice MVP","candidate; practice-setup",""
"User Story","697","Move practice form into src/features/practice-setup","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Practice MVP","candidate; practice-setup",""
"Feature","696","Practice setup feature slice","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Practice MVP","candidate; practice-setup",""
"Epic","695","Candidate Practice Setup And Drafts","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Practice MVP","candidate; practice-setup",""
"User Story","694","Add dev seed candidates","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Auth Handoff","candidate; postgres",""
"User Story","693","Add candidate DB migration","Fu Chen <fu@rangam.com>","Resolved","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Auth Handoff","candidate; postgres","Resolved after adding db/migrations/002_candidate_identity_schema.sql for candidate_profiles and candidate_identities, db/validation/002_candidate_identity_schema_smoke.sql, and package scripts to apply and smoke the candidate schema. Verified with focused Vitest, typecheck, and local Postgres smoke."
"Feature","692","Migration and seed path","Fu Chen <fu@rangam.com>","Active","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Auth Handoff","candidate; postgres","Activated by adding candidate schema migration and smoke validation path."
"User Story","691","Add metrics/rate-limit/idempotency boundaries","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Auth Handoff","candidate; postgres",""
"User Story","690","Add draft/session repository boundaries","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Auth Handoff","candidate; postgres",""
"User Story","689","Add candidate profile repository","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Auth Handoff","candidate; postgres",""
"Feature","688","Candidate repository layer","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Auth Handoff","candidate; postgres",""
"Task","687","Add env validation for candidate backend selectors","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Auth Handoff","candidate; postgres",""
"User Story","686","Port Postgres config/client patterns from migrated recruiter app","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Auth Handoff","candidate; postgres",""
"Feature","685","Postgres client and config foundation","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Auth Handoff","candidate; postgres",""
"Epic","684","Shared Postgres And Backend Integration","Fu Chen <fu@rangam.com>","Active","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Auth Handoff","candidate; postgres","Activated as candidate Postgres migration work began."
"Task","683","Add auth-denial logging without secrets","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Auth Handoff","auth-handoff; candidate",""
"User Story","682","Add negative ownership behavior","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Auth Handoff","auth-handoff; candidate",""
"User Story","681","Protect candidate route group","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Auth Handoff","auth-handoff; candidate",""
"User Story","680","Add password-backed dev auth and explicit mock mode","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Auth Handoff","auth-handoff; candidate",""
"User Story","679","Define SSO/auth adapter interface","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Auth Handoff","auth-handoff; candidate",""
"Feature","678","Candidate access resolver","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Auth Handoff","auth-handoff; candidate",""
"Task","677","Add ownership indexes and constraints","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Auth Handoff","auth-handoff; candidate",""
"User Story","676","Create candidate profile and identity schema","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Auth Handoff","auth-handoff; candidate",""
"Feature","675","Candidate profile and identity persistence","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Auth Handoff","auth-handoff; candidate",""
"Epic","674","Candidate Identity And Auth Handoff","Fu Chen <fu@rangam.com>","Active","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Auth Handoff","auth-handoff; candidate",""
"User Story","673","Preserve recruiter/admin/QA route behavior","Fu Chen <fu@rangam.com>","Active","Interview-Coach-Candidate\Shared Platform","Interview-Coach-Candidate\Candidate MVP Shell","candidate; shared-host-routing",""
"Feature","672","Recruiter/admin/QA route preservation","Fu Chen <fu@rangam.com>","Active","Interview-Coach-Candidate\Shared Platform","Interview-Coach-Candidate\Candidate MVP Shell","candidate; shared-host-routing",""
"Task","671","Validate LoginWithType/2 parameter behavior in browser","Fu Chen <fu@rangam.com>","Active","Interview-Coach-Candidate\Shared Platform","Interview-Coach-Candidate\Candidate MVP Shell","candidate; shared-host-routing",""
"User Story","670","Confirm candidate CTA return behavior","Himanshu Sagar <himanshusagar@rangam.com>","Active","Interview-Coach-Candidate\Integration","Interview-Coach-Candidate\Candidate Auth Handoff","blocked; candidate; integration-team-needed; shared-host-routing",""
"User Story","669","Update public CTA targets","Fu Chen <fu@rangam.com>","Resolved","Interview-Coach-Candidate\Shared Platform","Interview-Coach-Candidate\Candidate MVP Shell","candidate; shared-host-routing",""
"Feature","668","Candidate public CTA funnel","Fu Chen <fu@rangam.com>","Active","Interview-Coach-Candidate\Shared Platform","Interview-Coach-Candidate\Candidate MVP Shell","candidate; shared-host-routing",""
"Epic","667","Candidate Public Funnel And Shared Host Routing","Fu Chen <fu@rangam.com>","Active","Interview-Coach-Candidate\Shared Platform","Interview-Coach-Candidate\Candidate MVP Shell","candidate; shared-host-routing",""
"Task","666","Revisit threat model after auth and resume ingestion are implemented","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Discovery","candidate; docs; foundation",""
"User Story","665","Add accessibility baseline","Fu Chen <fu@rangam.com>","Active","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Dashboard MVP","accessibility; candidate; docs; foundation",""
"User Story","664","Add data retention policy","Fu Chen <fu@rangam.com>","Active","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Discovery","candidate; docs; foundation",""
"Feature","663","Policy baselines","Fu Chen <fu@rangam.com>","Active","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Discovery","candidate; docs; foundation",""
"Task","662","Implement DB setup/migrate/seed commands after DB layer lands","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Discovery","candidate; docs; foundation",""
"User Story","661","Document local bootstrap contract","Fu Chen <fu@rangam.com>","Active","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Discovery","candidate; docs; foundation",""
"Feature","660","Local developer bootstrap","Fu Chen <fu@rangam.com>","Active","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Discovery","candidate; docs; foundation",""
"User Story","659","Add ADRs and environment contract","Fu Chen <fu@rangam.com>","Active","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Discovery","candidate; docs; foundation",""
"User Story","658","Align public assets with migrated recruiter app","Fu Chen <fu@rangam.com>","Active","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Discovery","candidate; docs; foundation",""
"Task","657","Verify local quality command names","Fu Chen <fu@rangam.com>","New","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Discovery","candidate; docs; foundation",""
"User Story","656","Align package name and quality scripts","Fu Chen <fu@rangam.com>","Active","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Discovery","candidate; docs; foundation",""
"User Story","655","Confirm TalentArbor login return parameter support","Himanshu Sagar <himanshusagar@rangam.com>","Active","Interview-Coach-Candidate\Integration","Interview-Coach-Candidate\Candidate Auth Handoff","auth-handoff; blocked; candidate; integration-team-needed",""
"User Story","654","Track candidate docs review for PR !593","Himanshu Sagar <himanshusagar@rangam.com>","Active","Interview-Coach-Candidate\Integration","Interview-Coach-Candidate\Candidate Discovery","azure-devops; candidate; docs; integration-team-needed",""
"User Story","653","Create candidate integration starter checklist","Fu Chen <fu@rangam.com>","Resolved","Interview-Coach-Candidate\Integration","Interview-Coach-Candidate\Candidate Discovery","azure-devops; candidate",""
"User Story","652","Define candidate integration PR policy","Fu Chen <fu@rangam.com>","Active","Interview-Coach-Candidate\Integration","Interview-Coach-Candidate\Candidate Discovery","azure-devops; candidate; integration-team-needed",""
"User Story","651","Open candidate integration PR in company Azure repo","Fu Chen <fu@rangam.com>","Resolved","Interview-Coach-Candidate\Integration","Interview-Coach-Candidate\Candidate Discovery","azure-devops; candidate",""
"User Story","650","Port candidate docs into company Azure branch","Fu Chen <fu@rangam.com>","Resolved","Interview-Coach-Candidate\Integration","Interview-Coach-Candidate\Candidate Discovery","azure-devops; candidate; docs",""
"User Story","649","Track shared host route ownership","Himanshu Sagar <himanshusagar@rangam.com>","Active","Interview-Coach-Candidate\Integration","Interview-Coach-Candidate\Candidate Auth Handoff","candidate; integration-team-needed; shared-host-routing",""
"User Story","648","Track TalentArbor login return contract","Himanshu Sagar <himanshusagar@rangam.com>","Active","Interview-Coach-Candidate\Integration","Interview-Coach-Candidate\Candidate Auth Handoff","auth-handoff; candidate; integration-team-needed",""
"User Story","647","Create candidate integration dashboard","Fu Chen <fu@rangam.com>","Resolved","Interview-Coach-Candidate\Integration","Interview-Coach-Candidate\Candidate Discovery","azure-devops; candidate",""
"User Story","646","Publish company code wiki when access allows","Himanshu Sagar <himanshusagar@rangam.com>","Active","Interview-Coach-Candidate\Integration","Interview-Coach-Candidate\Candidate Discovery","azure-devops; candidate; docs; integration-team-needed",""
"User Story","645","Create candidate integration context branch in company Azure repo","Fu Chen <fu@rangam.com>","Closed","Interview-Coach-Candidate\Integration","Interview-Coach-Candidate\Candidate Discovery","azure-repos; branch-strategy; candidate",""
"User Story","644","Document shared host route and candidate login redirect contracts","Fu Chen <fu@rangam.com>","Active","Interview-Coach-Candidate\Shared Platform","Interview-Coach-Candidate\Candidate MVP Shell","candidate; shared-host-routing",""
"Feature","643","Candidate app integration planning control plane","Fu Chen <fu@rangam.com>","Active","Interview-Coach-Candidate\Integration","Interview-Coach-Candidate\Candidate Discovery","azure-devops; candidate",""
"Task","642","Establish working docs and ground-truth docs","Fu Chen <fu@rangam.com>","Closed","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Discovery","candidate; docs; foundation",""
"User Story","641","Establish ground-truth docs and single working backlog","Fu Chen <fu@rangam.com>","Resolved","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Discovery","candidate; docs; foundation",""
"Feature","640","Repo and docs baseline","Fu Chen <fu@rangam.com>","Resolved","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Discovery","candidate; docs; foundation",""
"Epic","639","Product Foundation And Governance","Fu Chen <fu@rangam.com>","Active","Interview-Coach-Candidate\Candidate","Interview-Coach-Candidate\Candidate Discovery","candidate",""
